Latitude,Longitude,P,K,Mg,Ca,S,Mo,Mn,Fe,Ni,Cu,Zn,B,Na,Sr,Ba,Al,Si,Cr,Co,Cd,Pb,As
45.52259,-122.56967,0.31,0.7,0.21,0.5,0.14,0.4,52.4,1101,2.75,11.6,73.9,23,198,40.9,56.7,548,743,2.15,0.66,0.23,6,BD
45.46438,-122.51847,0.27,0.57,0.17,0.46,0.11,0.45,120.9,473,1.61,5.9,46.3,7.9,98,61.5,66,261,318,1.22,0.55,0.22,1.2,BD
45.5417,-122.79429,0.2,0.43,0.17,0.64,0.09,0.35,51.2,447,0.68,5.8,82.4,23.7,112,45.8,60.2,220,264,1.07,0.5,1.13,1.1,BD
45.52217,-122.50902,0.19,0.39,0.11,0.4,0.11,0.77,77.8,1048,1.7,15,70.6,6.8,34,28.8,43.4,540,341,1.67,0.59,0.14,4.6,BD
45.49989,-122.7409,0.29,0.48,0.2,0.54,0.19,1.68,256.8,1658,2.23,22.5,118.7,18.8,143,51.4,86.9,666,505,3.1,0.87,0.29,7.7,0.27
45.51653,-122.49275,0.13,0.35,0.09,0.8,0.13,0.4,21,834,1.55,9.2,31.1,22.5,102,61.8,49.6,538,424,1.51,0.49,0.19,2.9,0.48
45.52884,-122.78434,0.23,0.51,0.14,0.34,0.1,0.41,104.2,774,1.05,6.4,48.2,6.4,150,22.5,32.5,393,408,1.57,0.41,0.14,2.9,BD
45.42611,-122.70844,0.21,0.36,0.15,0.4,0.1,0.71,35.2,728,1.63,8.1,44.9,6.6,89,39,57.1,377,473,1.52,0.39,0.14,3.2,BD
45.53195,-122.78238,0.18,0.35,0.14,0.56,0.09,0.58,53.5,656,1.09,7.4,40.6,19.5,64,52.4,45.4,249,125,1.49,0.44,0.1,1.8,BD
45.51745,-122.47676,0.17,0.46,0.15,0.43,0.12,0.97,103.7,1733,2.19,14.2,121,5.3,152,31.4,54.6,731,385,2.57,0.96,0.2,5,0.4
45.55684,-122.77936,0.18,0.47,0.14,0.28,0.13,0.74,109.2,1052,1.8,8.1,54.6,3,159,21.7,39.7,410,408,2.06,0.56,0.14,5.2,BD
45.43512,-122.73654,0.23,0.4,0.17,0.53,0.09,0.42,54.5,690,0.98,6.7,36.7,9.7,81,40.9,46.8,346,327,1.33,0.39,0.08,2.1,BD
45.51417,-122.74843,0.19,0.42,0.16,0.36,0.11,0.68,162.9,1062,1.86,9.8,47.1,6.7,113,23.7,34.2,426,464,2.72,0.48,0.32,4.6,BD
45.44006,-122.69839,0.2,0.54,0.16,0.38,0.14,0.77,76.1,1200,2.42,10,62.6,9.9,216,31.1,40.3,516,370,2.51,0.68,0.15,4.6,BD
45.48572,-122.74066,0.18,0.53,0.11,0.43,0.1,0.43,197.8,796,1.2,7.2,48,7.7,125,23.1,29.7,315,140,1.58,0.46,0.15,3.7,BD
45.51024,-122.49779,0.11,0.3,0.1,0.72,0.11,0.48,27,1056,1.93,9.6,41.4,17.6,36,46.2,67,744,504,1.85,0.61,0.19,3.5,0.44
45.48183,-122.47439,0.23,0.55,0.15,0.53,0.12,0.48,382.9,870,1.76,8.5,31.3,7.1,86,25.8,41.3,480,331,1.78,0.58,0.09,2.2,BD
45.49397,-122.61742,0.3,0.66,0.21,0.75,0.14,0.66,38.3,733,2.51,25.4,86.6,38.8,69,40,73.8,448,603,1.62,0.54,0.69,5.1,BD
45.47044,-122.60066,0.23,0.57,0.19,0.59,0.12,1.42,43.6,1114,7.09,15.1,62.1,27.1,158,38.7,86.1,651,381,2.26,0.83,0.4,6.4,0.72
45.55903,-122.68497,0.17,0.34,0.11,0.71,0.15,0.5,37,1099,3.74,15.4,129.4,20.6,83,46,90.8,466,444,2.88,0.59,0.26,15.2,0.29
45.42639,-122.67166,0.19,0.41,0.16,0.45,0.09,0.5,55.6,958,1.92,6.7,35.1,10.2,90,32,38.2,427,343,1.6,0.55,0.1,4.2,BD
45.4509,-122.70862,0.29,0.44,0.21,0.57,0.13,0.55,52.9,855,1.61,12.3,55.8,31.3,115,37.2,49.8,421,653,1.84,0.51,0.18,3.3,0.39
45.49054,-122.56085,0.19,0.4,0.14,0.32,0.14,0.87,86.1,1685,5.19,17.2,77.3,5.7,163,20.1,46,812,601,3.19,1.15,0.2,7.4,0.28
45.51144,-122.54308,0.14,0.36,0.12,0.37,0.1,0.71,43.8,1035,2.5,12,58.2,4,44,30.8,40,558,348,1.73,0.68,0.16,5.2,BD
45.53101,-122.78244,0.24,0.51,0.16,0.39,0.11,0.84,84.6,702,1.29,9.8,71.1,7.4,198,34.8,45.1,296,267,1.58,0.39,0.13,2.7,BD
45.46651,-122.65024,0.17,0.51,0.16,0.54,0.11,0.57,30.9,762,1.91,9.7,41.8,24.4,145,32.5,37.7,391,334,1.52,0.46,0.24,5.5,BD
45.51303,-122.68735,0.23,0.46,0.14,0.57,0.18,1.3,254.8,1517,3.21,20.8,148.2,9.2,84,45.6,75.6,658,453,3.35,0.71,0.24,11.8,0.25
45.48173,-122.47323,0.26,0.66,0.23,0.57,0.1,0.34,38.1,533,0.99,9.5,26.1,39.7,133,49.4,71.8,314,266,1.21,0.39,0.12,1,BD
45.50257,-122.48744,0.2,0.65,0.19,0.38,0.09,0.46,67.2,1134,1.5,6.7,30.3,19.9,148,27,55.1,684,616,1.72,0.63,0.1,3,BD
45.57014,-122.68977,0.13,0.44,0.18,0.68,0.16,1.35,73.1,1565,3.73,59.1,119.3,28.7,164,32.9,37.7,688,595,4.86,0.81,0.4,19.9,0.46
45.46148,-122.73864,0.2,0.59,0.15,0.44,0.1,0.45,244,708,1.12,10.9,60.2,8.2,152,25.9,42,328,443,1.24,0.47,0.24,3.2,BD
45.46417,-122.51832,0.24,0.59,0.21,0.51,0.1,0.43,62.3,530,1.45,5.6,29.1,28.5,128,51.2,90.9,313,366,1.26,0.37,0.08,1.2,BD
45.45049,-122.66206,0.18,0.34,0.21,0.54,0.13,0.71,70.9,1842,2.65,19.5,105,16.2,127,31.5,59.9,682,424,2.81,1.05,0.24,4.6,0.31
45.57088,-122.64357,0.22,0.61,0.16,0.42,0.12,0.62,31.5,800,1.76,19.2,59.8,14.7,199,23.6,31.1,369,445,1.82,0.44,0.33,5.9,0.29
45.54786,-122.50154,0.26,0.49,0.16,0.44,0.13,0.15,59.7,1100,1.95,10.3,62,6.3,158,24.4,40.7,546,393,2.23,0.68,0.13,3.3,BD
45.47822,-122.58279,0.21,0.51,0.22,0.51,0.09,0.65,24.7,748,2.75,24.5,33.5,31.6,116,35.9,53.7,403,412,1.64,0.61,0.12,4.3,0.32
45.53053,-122.68639,0.28,0.47,0.19,0.75,0.22,3.44,142.2,3883,6.34,52.2,250.1,38,166,70.7,97.6,1497,714,8.8,2.02,0.67,35,0.46
45.58448,-122.69078,0.17,0.55,0.18,0.42,0.14,1.16,156.9,1478,3,23.3,85.6,11.1,218,27.6,42.1,531,545,4.61,0.73,0.19,7.3,0.26
45.52073,-122.70823,0.17,0.25,0.12,0.52,0.13,0.65,59,1497,2.83,341.7,108,5.1,116,37.3,75.7,548,475,3.76,0.75,0.3,27.1,0.36
45.58446,-122.69588,0.2,0.49,0.13,0.83,0.15,0.93,54.3,1361,2.82,21,84.4,33.7,107,64.8,82.9,618,541,4.49,0.71,0.27,129,BD
45.49158,-122.49444,0.23,0.51,0.19,0.32,0.08,0.46,80.1,1293,1.33,6.2,33.4,3.3,147,27.3,29,718,443,1.89,0.74,BD,1.9,BD
