Latitude,Longitude,P,K,Mg,Ca,S,Mo,Mn,Fe,Ni,Cu,Zn,B,Na,Sr,Ba,Al,Si,Cr,Co,Cd,Pb,As
45.53392,-122.53325,0.1,0.33,0.21,0.58,0.12,0.72,115.6,916,1.8,10.8,42.5,24.3,134,35.1,71.7,446,411,1.62,0.48,0.22,4.5,0.3
45.57057,-122.66571,0.17,0.55,0.11,0.69,0.13,0.72,56.6,625,1.56,15.9,49.9,23.1,153,33.1,51.4,279,339,1.66,0.32,0.24,32.8,0.27
45.50124,-122.47951,0.19,0.48,0.14,0.38,0.09,0.38,93.6,668,1.06,5.8,32.7,10.1,217,18.1,28,383,397,1.23,0.44,0.13,2.7,0.3
45.54995,-122.52736,0.27,0.6,0.13,0.5,0.12,0.8,30.9,1095,2.28,18.9,44.4,11.5,153,37,29.4,525,480,2.11,0.62,0.18,4.8,BD
45.55243,-122.59548,0.18,0.47,0.12,0.59,0.12,0.58,28.5,891,1.6,11.5,42,17.4,119,38.2,45.9,493,563,1.86,0.53,0.57,4.5,0.29
45.53392,-122.53325,0.1,0.34,0.21,0.65,0.12,0.55,88.8,823,1.6,10.3,42.6,28.6,141,39.1,72.4,439,665,1.79,0.42,0.25,3.3,0.5
45.47192,-122.60602,0.22,0.52,0.14,0.49,0.14,2.01,32.2,866,19.33,11.1,50.1,13.5,140,40.4,70.5,520,574,3.49,1.12,0.27,4.9,0.52
45.53703,-122.69205,0.32,0.61,0.2,0.73,0.17,3.11,107.1,1909,5.11,28.3,109.2,55.3,168,42.6,98.5,732,552,5.84,0.9,0.6,7.8,0.35
45.46789,-122.60908,0.24,0.62,0.24,0.57,0.15,3.77,125.6,1536,43.45,18.5,68.6,36.8,183,39.1,79.5,882,680,6.68,2.15,0.28,7,0.83
45.47247,-122.70244,0.22,0.56,0.2,0.46,0.12,0.62,54.5,1512,2.63,15.9,46.1,18.5,133,41.7,57.4,594,300,4.1,0.82,0.18,4.1,0.38
45.48983,-122.61204,0.13,0.43,0.15,0.36,0.11,0.67,155.4,933,4.25,23.7,175.7,9.3,156,17.2,28,513,449,2.1,0.69,0.32,6,0.42
45.53615,-122.53157,0.21,0.43,0.15,0.52,0.14,0.63,121.8,987,2.7,10.5,47.2,11.1,121,33.6,54.3,469,478,1.92,0.61,0.24,5,0.49
45.55498,-122.57764,0.25,0.59,0.2,0.73,0.15,0.73,56.4,965,2.15,16,71.8,37.4,142,59.3,121.1,539,604,1.92,0.56,0.61,5.3,BD
45.48927,-122.61191,0.21,0.53,0.18,0.51,0.12,0.77,32.2,830,4.88,12.8,42.1,15.2,134,27.8,33.7,403,215,1.91,0.53,0.23,4.8,0.38
45.44739,-122.6411,0.21,0.39,0.12,0.42,0.14,1.31,84.1,1301,6.79,14.5,103.9,8.6,92,27.9,50.2,595,513,3.55,0.88,0.45,7.4,BD
45.47818,-122.6207,0.16,0.43,0.14,0.45,0.11,1.25,50.2,1482,11.71,14.8,67.6,7.4,115,25.4,37,733,314,3.2,1.13,0.27,9.8,0.34
45.55817,-122.62454,0.22,0.57,0.15,0.49,0.15,0.73,38.7,1123,2.32,37.9,71.2,16.9,184,24.8,39.4,541,418,2.51,0.62,0.32,6.4,0.36
45.48758,-122.4851,0.22,0.63,0.17,0.43,0.12,0.55,189,1150,1.69,10.9,64.8,7.9,188,33.4,47.3,682,748,1.67,0.69,0.17,22.8,0.29
45.5142,-122.68235,0.19,0.48,0.2,0.66,0.23,3.4,122.9,3614,7.43,45.5,154.1,24.6,186,43.5,78.2,1169,686,8.07,1.41,0.43,34.7,0.32
45.52265,-122.53901,0.23,0.65,0.17,0.67,0.2,1.72,226.9,1776,2.61,30,115.5,26.7,179,53.3,89.6,889,812,2.73,0.96,0.22,7.1,0.37
45.51588,-122.61927,0.23,0.53,0.16,0.53,0.13,0.65,92.5,1012,3.17,15,66.8,17.9,171,35.4,54,543,625,2.22,0.58,0.45,10.3,0.29
45.51793,-122.61337,0.22,0.48,0.18,0.54,0.14,0.57,35.9,933,2.55,16.2,57.4,15.8,147,33.5,44,481,572,2.09,0.53,0.35,11.2,BD
45.49944,-122.60185,0.19,0.59,0.12,0.48,0.11,0.64,170,993,4.6,12.3,54.6,11.2,171,28.6,63.7,525,495,2.11,0.67,0.25,7.2,0.28
45.44731,-122.64137,0.19,0.41,0.12,0.47,0.17,1.86,129,1876,6.96,17.4,230.1,11.2,136,35.1,57.4,885,602,4.24,1.13,0.27,12.7,0.3
45.46143,-122.52337,0.21,0.41,0.15,0.34,0.11,0.54,54.7,703,2.04,9.6,46.6,5.2,169,35.7,53,396,433,1.66,0.53,0.12,2.1,BD
45.5044,-122.70728,0.18,0.43,0.15,0.4,0.13,0.74,44.3,870,1.52,11.7,63.5,9.2,169,23.3,41.7,389,451,1.9,0.47,0.2,3.9,BD
45.55797,-122.62457,0.2,0.57,0.15,0.46,0.14,0.66,34.3,892,1.78,37.7,52.7,17.8,156,26.6,38.9,471,646,1.92,0.54,0.29,5.2,BD
45.46461,-122.54997,0.17,0.78,0.2,0.26,0.12,0.62,235,703,2.66,8.7,79.3,11.2,271,18.1,34,422,468,1.39,0.65,0.18,3.3,0.38
45.52075,-122.76605,0.18,0.44,0.13,0.38,0.1,0.39,161.8,562,1.22,6.6,52.7,10.1,146,25.5,37.7,309,513,1.39,0.44,0.13,1.8,0.41
45.52694,-122.51728,0.2,0.52,0.29,0.52,0.13,0.46,190.7,992,2.67,8.9,35.1,25.7,137,41.1,83.1,593,1042,1.78,0.6,0.49,2.7,BD
45.47372,-122.52452,0.16,0.43,0.13,0.32,0.08,0.45,38.8,712,1.91,9.1,37.5,3.5,142,25.9,37.5,453,566,1.59,0.55,0.13,3,0.46
45.52257,-122.5393,0.22,0.5,0.14,0.51,0.18,2.1,305.9,2513,3.43,84.3,121.8,13.3,227,48.6,125.5,1142,1325,3.35,1.24,0.21,10.2,BD
45.51498,-122.51593,0.16,0.44,0.11,0.84,0.13,0.39,18.2,701,1.39,9.1,28.5,38.1,100,45.4,45.7,497,508,1.35,0.44,0.16,3.1,0.4
45.4695,-122.50686,0.13,0.53,0.17,0.35,0.08,0.61,191.5,786,1.61,8.4,41.6,7,179,27.9,34.8,483,558,1.35,0.54,0.17,2.4,0.47
45.54629,-122.67079,0.2,0.42,0.16,0.49,0.18,1.83,126.5,2323,4.62,25.4,97.5,18.2,147,28.6,49.6,873,714,4.59,1.04,0.81,18.2,0.27
45.53567,-122.60985,0.19,0.45,0.18,0.69,0.14,0.63,67.9,1023,1.84,15.2,49.8,26.1,100,41.9,87.3,628,882,2.98,0.59,0.33,9.5,0.77
45.59437,-122.65132,0.19,0.52,0.2,0.72,0.13,0.93,45.8,1027,2.18,33,113.9,44.2,108,31.8,28.8,416,396,2.17,0.64,1.13,5.5,0.54
45.54168,-122.51285,0.11,0.28,0.09,0.69,0.12,0.65,30,946,1.56,10.3,44.2,19,112,44.3,61.7,584,814,1.76,0.54,0.15,2.5,BD
45.50882,-122.56902,0.13,0.33,0.14,0.74,0.14,1.12,48.9,2146,4.86,21.2,90.4,15.4,119,61.3,82.1,1027,663,3.37,1.18,0.29,9.1,0.39
45.4724,-122.62679,0.24,0.55,0.16,0.52,0.12,1.12,42.3,1411,9.13,13.4,212.3,10.8,101,29.7,29.3,712,403,3.46,0.94,0.32,6.6,0.24
